publication_ID	citing_publication_DOI
250023	['10.1051/0004-6361/200811133', '10.1007/s11207-010-9671-8', '10.1007/s11214-008-9447-8', '10.1007/s11214-015-0229-9', '10.1007/s00159-013-0058-3', '10.1093/mnras/sts170', '10.1007/978-1-4419-0239-9_17', '10.1051/0004-6361/201730656', '10.1051/0004-6361/201833664', '10.1017/s1743921311007137', '10.1016/j.asr.2015.05.027', '10.1016/j.chemphys.2011.06.018', '10.1051/0004-6361/202142291']
250025	['10.1088/0031-8949/83/03/038301', '10.1088/0034-4885/72/6/066501', '10.1209/0295-5075/95/27004', '10.1155/2010/306106']
250027	['10.1088/0268-1242/25/3/034005', '10.1088/0268-1242/25/6/063001', '10.1103/physrevb.91.115422', '10.1103/physrevb.91.235122', '10.1103/physrevb.91.235403', '10.1103/physrevb.92.075417', '10.1103/physrevb.92.195431', '10.1103/physrevb.97.035419', '10.1186/1556-276x-7-134', '10.1201/b14396-3', '10.1103/physrevb.77.035317', '10.1103/physrevb.77.235411', '10.1103/physrevb.79.235418', '10.1088/0953-8984/25/2/025302', '10.1039/c4nr01600a', '10.1002/jrs.5213', '10.1088/0953-8984/24/13/135301', '10.1209/0295-5075/103/37012', '10.1209/0295-5075/108/27011', '10.1002/9783527651122.ch2', '10.3390/photonics2010013', '10.1155/2015/979528', '10.1039/c5ra12223f', '10.1038/ncomms9429', '10.1007/978-94-007-6618-1_6', '10.1103/revmodphys.81.109', '10.1103/revmodphys.83.1193', '10.1103/revmodphys.83.471', '10.1103/physrevlett.103.179901', '10.1103/physrevlett.103.186803', '10.1103/physrevlett.105.227401', '10.1103/physrevlett.107.036807', '10.1103/physrevlett.109.256602', '10.1103/physrevlett.110.227402', '10.1103/physrevlett.112.056803', '10.1103/physrevlett.120.187701', '10.1038/ncomms4703', '10.1088/1361-648x/aa749c', '10.1007/s12274-014-0594-9', '10.1038/nnano.2013.46', '10.1103/physrevb.80.241404', '10.1103/physrevb.81.085432', '10.1103/physrevb.81.155436', '10.1103/physrevb.83.205406', '10.1103/physrevb.84.085125', '10.1103/physrevb.84.235138', '10.1103/physrevb.85.121403', '10.1103/physrevb.85.195406', '10.1103/physrevb.86.205431', '10.1103/physrevb.87.085401', '10.1103/physrevb.87.161404', '10.1103/physrevb.88.165407', '10.1039/c6cs00915h', '10.1039/c9cs00085b', '10.1088/2053-1583/3/1/015004', '10.1103/physrevb.100.075401', '10.1088/1367-2630/14/10/105016', '10.1088/1367-2630/14/9/095007', '10.1143/jpsj.80.044706', '10.1038/s41598-020-63478-7', '10.1038/s41699-020-0140-4', '10.1002/pssr.202000345', '10.1038/s41598-020-78262-w', '10.3390/nano10112234', '10.1016/j.ssc.2011.05.017', '10.1016/j.crhy.2012.11.003', '10.1016/j.ssc.2013.09.012', '10.1016/j.carbon.2012.01.046', '10.1016/j.physleta.2015.06.057', '10.1016/j.ssc.2012.04.020', '10.1016/j.mtcomm.2019.100795', '10.1016/j.mtphys.2017.10.003', '10.1016/j.physe.2010.07.021', '10.1016/j.jmst.2016.06.029', '10.1103/physrevb.103.035432', '10.1021/acs.nanolett.0c05043', '10.1021/nl501578m', '10.1088/1572-9494/ac1d9f', '10.1007/jhep09(2020)037', '10.1021/nl5038825', '10.1021/acs.nanolett.0c01983', '10.1021/nl404588g']
250029	['10.1103/physrevc.85.055203']
250030	['10.1007/s10909-008-9800-z', '10.1016/j.jpcs.2008.06.105']
250031	['10.1016/j.nimb.2007.11.003']
250032	['10.1088/0034-4885/76/4/044201', '10.1088/1742-6596/203/1/012009', '10.1088/1742-6596/284/1/012048', '10.1088/0954-3899/42/6/065001', '10.3389/fphy.2018.00010', '10.1088/1126-6708/2007/12/002', '10.1088/1126-6708/2008/03/016', '10.1088/1126-6708/2009/03/139', '10.1140/epjc/s10052-016-4077-x', '10.1140/epjc/s10052-016-4406-0', '10.1103/physrevd.77.013007', '10.1103/physrevd.77.093014', '10.1103/physrevd.78.036002', '10.1103/physrevd.78.053007', '10.1103/physrevd.78.083007', '10.1103/physrevd.78.113004', '10.1103/physrevd.79.013007', '10.1103/physrevd.79.113012', '10.1103/physrevd.80.053002', '10.1103/physrevd.80.091301', '10.1103/physrevd.81.013003', '10.1134/s1063778811060226', '10.1103/physrevd.81.063003', '10.1103/physrevd.82.033004', '10.1103/physrevd.82.113002', '10.1103/physrevd.83.053009', '10.1103/physrevd.86.073010', '10.1103/physrevd.94.053008', '10.1103/physrevd.94.093007', '10.1103/physrevd.94.103009', '10.1142/s0217751x08042730', '10.1088/1361-6471/aaa90a', '10.1103/physrevd.95.033008', '10.1103/physrevd.96.023009', '10.1103/physrevd.97.023014', '10.1103/physrevd.97.043011', '10.1103/physrevd.97.095026', '10.1103/physrevd.97.103018', '10.1088/1367-2630/17/9/095002', '10.1088/1475-7516/2008/12/006', '10.1088/1475-7516/2017/05/051', '10.1088/1475-7516/2018/02/001', '10.1146/annurev-nucl-101918-023434', '10.1140/epjc/s10052-020-8097-1', '10.1103/physrevd.102.063001', '10.1016/j.ppnp.2007.10.001', '10.1016/j.physletb.2008.07.092', '10.1016/j.physletb.2015.07.015', '10.1016/j.nuclphysbps.2012.09.004', '10.1016/j.nuclphysbps.2013.04.112', '10.1103/physrevd.103.095004', '10.1088/1475-7516/2021/06/046', '10.1146/annurev.nucl.012809.104524']
250033	['']
250039	['10.1140/epja/i2006-10516-7', '10.1140/epja/i2008-10567-8', '10.1140/epja/i2008-10600-0', '10.1140/epjc/s10052-015-3357-1', '10.1140/epjc/s10052-015-3715-z', '10.1140/epjc/s10052-017-5016-1', '10.1103/physrevd.78.057901', '10.1103/physrevd.80.034034', '10.1155/2015/803232', '10.1007/jhep10(2013)011', '10.1134/s1063778818030080', '10.1103/physrevd.86.034003', '10.1103/physrevd.86.054006', '10.1103/physrevd.94.054036', '10.1007/jhep06(2012)063', '10.1007/jhep06(2014)082', '10.1103/physrevd.98.056008', '10.1103/physrevd.99.015019', '10.1103/physrevc.93.024002', '10.1103/physrevc.96.055206', '10.3390/sym12071114', '10.1016/j.physletb.2007.11.030', '10.1016/j.ppnp.2019.103728', '10.1016/j.aop.2013.06.001', '10.1016/j.physletb.2007.12.033', '10.1016/j.physletb.2009.05.052', '10.1016/j.nuclphysbps.2008.12.033', '10.1016/j.physletb.2011.08.022', '10.21468/scipostphys.11.2.020', '10.1140/epjs/s11734-021-00145-6', '10.1016/j.nuclphysbps.2021.05.022', '10.1016/j.physletb.2022.136991', '10.21468/scipostphyscore.5.1.016', '10.1103/physrevd.105.074016']
250041	['10.1017/s0017089517000386', '10.1142/s021902571450012x', '10.1142/s0219025718500194', '10.1142/s0219025718500285', '10.1007/978-81-322-3667-2_1', '10.1007/978-81-322-3667-2_10', '10.1007/978-81-322-3667-2_3', '10.1007/s12044-012-0082-7', '10.1007/s12044-015-0211-1', '10.1093/imrn/rnr098', '10.1142/s0129055x17500088', '10.1007/978-3-8348-9831-9_5', '10.1080/00927872.2016.1236934', '10.1007/s00220-010-1060-5', '10.1007/s00220-011-1301-2', '10.1007/s00220-011-1368-9', '10.1007/s00220-015-2537-z', '10.1007/s00039-018-0437-z', '10.1007/s00220-018-3279-5', '10.1142/s0129167x12500747', '10.1007/s13226-015-0147-2', '10.1007/s13226-019-0356-1', '10.1007/978-3-319-63206-3_3', '10.1007/s11005-010-0409-1', '10.1007/s11005-016-0900-4', '10.1007/s11005-017-0951-1', '10.1007/978-981-15-0422-8_8', '10.1007/s11005-019-01241-4', '10.1007/s00220-020-03849-3', '10.1016/j.jfa.2010.11.016', '10.1016/j.aim.2015.03.024', '10.1016/j.aim.2020.107181', '10.1016/j.aim.2009.06.009', '10.1016/j.geomphys.2012.05.005', '10.1016/j.jfa.2009.07.006', '10.1016/j.jfa.2010.02.009', '10.1016/j.geomphys.2013.03.027', '10.1016/j.geomphys.2010.05.007', '10.1016/j.geomphys.2015.05.006', '10.1016/j.geomphys.2018.04.010', '10.1016/j.jfa.2013.10.020', '10.1215/ijm/1520046213', '10.5802/ambp.382']
250046	['10.1103/physrevlett.119.120506', '10.1063/1.4986246', '10.1007/978-3-642-16117-9_1', '10.1038/s42005-020-00503-1', '10.1103/physreva.104.032604', '10.1109/tit.2018.2854747']
